#    L    TT             EE             TE             PP             TP          
   136    0.38242E+04    0.10485E+01   -0.41743E+02    0.34047E+07    0.43684E+04
   137    0.38578E+04    0.10498E+01   -0.42052E+02    0.33834E+07    0.43251E+04
   138    0.38913E+04    0.10507E+01   -0.42342E+02    0.33622E+07    0.42826E+04
   139    0.39245E+04    0.10512E+01   -0.42613E+02    0.33412E+07    0.42408E+04
   140    0.39578E+04    0.10511E+01   -0.42865E+02    0.33204E+07    0.41996E+04
   141    0.39909E+04    0.10505E+01   -0.43096E+02    0.32998E+07    0.41591E+04
   142    0.40239E+04    0.10495E+01   -0.43308E+02    0.32793E+07    0.41191E+04
   143    0.40569E+04    0.10481E+01   -0.43500E+02    0.32590E+07    0.40797E+04
   144    0.40897E+04    0.10462E+01   -0.43671E+02    0.32389E+07    0.40409E+04
   145    0.41223E+04    0.10439E+01   -0.43821E+02    0.32189E+07    0.40026E+04
   146    0.41550E+04    0.10410E+01   -0.43950E+02    0.31991E+07    0.39647E+04
   147    0.41873E+04    0.10378E+01   -0.44056E+02    0.31795E+07    0.39273E+04
   148    0.42195E+04    0.10341E+01   -0.44141E+02    0.31600E+07    0.38904E+04
   149    0.42516E+04    0.10300E+01   -0.44204E+02    0.31407E+07    0.38538E+04
   150    0.42834E+04    0.10255E+01   -0.44241E+02    0.31215E+07    0.38177E+04
   151    0.43150E+04    0.10206E+01   -0.44257E+02    0.31025E+07    0.37818E+04
   152    0.43464E+04    0.10152E+01   -0.44250E+02    0.30837E+07    0.37464E+04
   153    0.43776E+04    0.10095E+01   -0.44217E+02    0.30651E+07    0.37112E+04
   154    0.44086E+04    0.10034E+01   -0.44161E+02    0.30465E+07    0.36765E+04
   155    0.44394E+04    0.99691E+00   -0.44080E+02    0.30282E+07    0.36421E+04
   156    0.44698E+04    0.99011E+00   -0.43976E+02    0.30100E+07    0.36080E+04
   157    0.45001E+04    0.98295E+00   -0.43846E+02    0.29919E+07    0.35743E+04
   158    0.45302E+04    0.97553E+00   -0.43692E+02    0.29741E+07    0.35410E+04
   159    0.45599E+04    0.96767E+00   -0.43512E+02    0.29563E+07    0.35080E+04
   160    0.45894E+04    0.95954E+00   -0.43307E+02    0.29387E+07    0.34753E+04
   161    0.46187E+04    0.95120E+00   -0.43076E+02    0.29213E+07    0.34431E+04
   162    0.46477E+04    0.94251E+00   -0.42821E+02    0.29040E+07    0.34112E+04
   163    0.46765E+04    0.93354E+00   -0.42539E+02    0.28869E+07    0.33796E+04
   164    0.47049E+04    0.92437E+00   -0.42233E+02    0.28699E+07    0.33485E+04
   165    0.47331E+04    0.91492E+00   -0.41899E+02    0.28530E+07    0.33177E+04
   166    0.47611E+04    0.90534E+00   -0.41540E+02    0.28363E+07    0.32872E+04
   167    0.47888E+04    0.89540E+00   -0.41156E+02    0.28197E+07    0.32572E+04
   168    0.48160E+04    0.88548E+00   -0.40745E+02    0.28033E+07    0.32275E+04
   169    0.48429E+04    0.87527E+00   -0.40307E+02    0.27870E+07    0.31981E+04
   170    0.48696E+04    0.86501E+00   -0.39844E+02    0.27709E+07    0.31692E+04
   171    0.48958E+04    0.85470E+00   -0.39352E+02    0.27549E+07    0.31406E+04
   172    0.49216E+04    0.84425E+00   -0.38834E+02    0.27390E+07    0.31124E+04
   173    0.49469E+04    0.83366E+00   -0.38290E+02    0.27233E+07    0.30845E+04
   174    0.49719E+04    0.82324E+00   -0.37720E+02    0.27077E+07    0.30571E+04
   175    0.49966E+04    0.81268E+00   -0.37122E+02    0.26923E+07    0.30300E+04
   176    0.50207E+04    0.80222E+00   -0.36497E+02    0.26770E+07    0.30033E+04
   177    0.50444E+04    0.79176E+00   -0.35847E+02    0.26618E+07    0.29770E+04
   178    0.50677E+04    0.78155E+00   -0.35169E+02    0.26467E+07    0.29510E+04
   179    0.50905E+04    0.77126E+00   -0.34465E+02    0.26318E+07    0.29254E+04
   180    0.51130E+04    0.76114E+00   -0.33735E+02    0.26170E+07    0.29001E+04
   181    0.51350E+04    0.75118E+00   -0.32979E+02    0.26023E+07    0.28752E+04
   182    0.51565E+04    0.74145E+00   -0.32196E+02    0.25878E+07    0.28506E+04
   183    0.51775E+04    0.73188E+00   -0.31387E+02    0.25734E+07    0.28263E+04
   184    0.51981E+04    0.72254E+00   -0.30553E+02    0.25591E+07    0.28023E+04
   185    0.52183E+04    0.71358E+00   -0.29694E+02    0.25449E+07    0.27786E+04
   186    0.52376E+04    0.70485E+00   -0.28808E+02    0.25309E+07    0.27552E+04
   187    0.52568E+04    0.69650E+00   -0.27896E+02    0.25169E+07    0.27321E+04
   188    0.52755E+04    0.68851E+00   -0.26960E+02    0.25031E+07    0.27093E+04
   189    0.52936E+04    0.68092E+00   -0.25999E+02    0.24894E+07    0.26867E+04
   190    0.53115E+04    0.67378E+00   -0.25014E+02    0.24758E+07    0.26643E+04
